date, value
10/7/19,52.75
10/8/19,52.63
10/9/19,52.59
10/10/19,53.55
10/11/19,54.7
10/14/19,53.59
10/15/19,52.81
10/16/19,53.36
10/17/19,53.95
10/18/19,53.816
10/21/19,53.43
10/22/19,54.416
10/23/19,55.97
10/24/19,56.23
10/25/19,56.66
10/28/19,55.81
10/29/19,55.54
10/30/19,55.06
10/31/19,54.18
11/1/19,56.2
11/4/19,56.54
11/5/19,57.23
11/6/19,56.35
11/7/19,57.15
11/8/19,57.24
11/11/19,56.86
11/12/19,56.8
11/13/19,57.12
11/14/19,56.77
11/15/19,57.742
11/18/19,57.086
11/19/19,55.294
11/20/19,57.03
11/21/19,58.58
11/22/19,57.77
11/25/19,58.01
11/26/19,58.41
11/27/19,58.11
11/29/19,55.17
12/2/19,55.96
12/3/19,56.1
12/4/19,58.43
12/5/19,58.43
12/6/19,59.2
12/9/19,59.02
12/10/19,59.24
12/11/19,58.76
12/12/19,59.18
12/13/19,60.07
12/16/19,60.196
12/17/19,60.912
12/18/19,60.882
12/19/19,61.188
12/20/19,60.44
12/23/19,60.52
12/24/19,61.11
12/26/19,61.68
12/27/19,61.72
12/30/19,61.68
12/31/19,61.06
1/2/20,61.18
1/3/20,63.05
1/6/20,63.27
1/7/20,62.7
1/8/20,59.61
1/9/20,59.56
1/10/20,59.04
1/13/20,58.08
1/14/20,58.23
1/15/20,57.816
1/16/20,58.524
1/17/20,58.564
1/21/20,58.372
1/22/20,56.74
1/23/20,55.59
1/24/20,54.19
1/27/20,53.14
1/28/20,53.48
1/29/20,53.33
1/30/20,52.14
1/31/20,51.56
2/3/20,50.11
2/4/20,49.61
2/5/20,50.75
2/6/20,50.95
2/7/20,50.32
2/10/20,49.57
2/11/20,49.94
2/12/20,51.17
2/13/20,51.42
2/14/20,52.104
2/18/20,52.146
2/19/20,53.41
2/20/20,53.86
2/21/20,53.38
2/24/20,51.43
2/25/20,49.9
2/26/20,48.73
2/27/20,47.09
2/28/20,44.76
3/2/20,46.75
3/3/20,47.18
3/4/20,46.78
3/5/20,45.9
3/6/20,41.28
3/9/20,31.13
3/10/20,34.36
3/11/20,32.98
3/12/20,31.5
3/13/20,31.73
3/16/20,28.7
3/17/20,27.026
3/18/20,20.554
3/19/20,25.634
3/20/20,22.59
3/23/20,23.36
3/24/20,24.01
3/25/20,24.49
3/26/20,22.6
3/27/20,21.51
3/30/20,20.09
3/31/20,20.48
4/1/20,20.31
4/2/20,25.32
4/3/20,28.34
4/6/20,26.08
4/7/20,23.63
4/8/20,25.09
4/9/20,22.76
4/13/20,22.41
4/14/20,20.11
4/15/20,19.87
4/16/20,21.002
4/17/20,20.974
4/21/20,11.258
4/22/20,13.78
4/23/20,16.5
4/24/20,16.94
4/27/20,12.78
4/28/20,12.34
4/29/20,15.06
4/30/20,18.84
5/1/20,19.78
5/4/20,20.39
5/5/20,24.56
5/6/20,23.99
5/7/20,23.55
5/8/20,24.74
5/11/20,24.14
5/12/20,25.78
5/13/20,25.29
5/14/20,27.624
5/15/20,29.466
5/18/20,31.718
5/19/20,32.068
5/20/20,33.49
5/21/20,33.92
5/22/20,33.25
5/26/20,34.35
5/27/20,32.81
5/28/20,33.71
5/29/20,35.49
6/1/20,35.44
6/2/20,36.81
6/3/20,37.29
6/4/20,37.41
6/5/20,39.55
6/8/20,38.19
6/9/20,38.94
6/10/20,39.6
6/11/20,36.34
6/12/20,36.26
6/15/20,37.12
6/16/20,38.38
6/17/20,38.01
6/18/20,38.924
6/19/20,39.798
6/22/20,40.676
6/23/20,40.37
6/24/20,38.01
6/25/20,38.72
6/26/20,38.49
6/29/20,39.7
6/30/20,39.27
7/1/20,39.82
7/2/20,40.65
7/6/20,40.63
7/7/20,40.62
7/8/20,40.9
7/9/20,39.62
7/10/20,
7/11/20,
7/12/20,
7/13/20,
7/14/20,
7/15/20,
7/16/20,
7/17/20,
7/18/20,
7/19/20,
7/20/20,
